标题,链接
“沿着斯诺的足迹——全球青年双语主持主播美丽中国·延安行”活动举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680661&idx=1&sn=06946154746b6583d38777825ac8b30c&chksm=80546a06b723e31072d9451c8cffd54577511a0ca5ae723fba73e13413c1d4715ce8a7fd17b3#rd
第十五届北京国际电影节“短视频单元”全球征片！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680629&idx=1&sn=8b0e378d246c5eba4f2e85c85167f485&chksm=80546a66b723e370246172bf9b5894fbe1abd906968f35eddc44d36edf9694298e92ceff45bd#rd
爆款背后的中传学子（二） || 专访《哪吒之魔童闹海》分镜制作优秀毕业生,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680628&idx=1&sn=04954aec27fccac5fa9f84c50a41135b&chksm=80546a67b723e3719c4c50e815759dacc60a98160971c2aff053e6a66fb0bb4ab7b59b838a28#rd
2025年海外优青，中国传媒大学诚邀全球英才申报！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680230&idx=1&sn=715ad87f7467310dfaa167a97bdf66ab&chksm=80546bf5b723e2e366caee4ab46f1e09ad7e70d826d42467b1274261be904f30e45c43c00691#rd
中国传媒大学2025年艺术类本科校考专业招生考试复试结果查询及三试手续办理通知,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680221&idx=1&sn=94cb26c4469e6ac9de6c41c14eda30db&chksm=80546bceb723e2d898cf452aae29b8706299e6bbe65221f3a3af0b160a320eecb8973fda9e2b#rd
中国传媒大学2025年艺术类本科校考专业招生考试三试须知,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680221&idx=2&sn=e8db2a6f1ec11ee84fdb91d3a023466f&chksm=80546bceb723e2d8ef68369662dc60a6aec2a6e2715920c2d8ecab8ce237d2f5c206d9b69487#rd
亚冬会上的中传学子,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680148&idx=1&sn=c41389c9b35858c697c9c53e9992af9b&chksm=80547407b723fd11eeb4863572ec5cd647b5329fd6c8b75d2a7a09f5e826ce46f5bf40692cd8#rd
2025年春季微专业招生信息,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652680039&idx=1&sn=60bf06df2b45c90d79095260bff0da71&chksm=805474b4b723fda2e03e9195bf6596bd838ad50d4f0e30e7567aeb735133143cb7b3313e26da#rd
爆款背后的中传学子 || 专访《哪吒之魔童闹海》设计师申威、场景设计师刘星,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679933&idx=1&sn=9ba5395e3852a2d5a3734738b6afc4da&chksm=8054752eb723fc384a582936d1209ed2148939023a321300db61bfd50522e46a74e4cd2f739a#rd
“京”彩绽放：北京文化主题活动在伦敦举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679797&idx=1&sn=0a34315815bdeced9f30ff8e7356cf51&chksm=805475a6b723fcb08854ada8de8f3413880ddbf86caa5ceed34fd412062508ba75501f2bc3f7#rd
中传悦读｜百年中国文学管窥：逄增玉自选集,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679699&idx=1&sn=4f24d2ef3463a7f7125c248649479622&chksm=805475c0b723fcd617fe891ca4b546faa5bc46439f063982bd0ad6258e0de11b74bf8604d629#rd
“解码中华文化基因”系列融媒体作品第二季｜云冈石窟,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679664&idx=1&sn=414ad81b7a9f823a926015418a01ac88&chksm=80547623b723ff3546b34e4e6b5e7be517d74835d82a681e946d292b82e1bae6ce92b5221f57#rd
AI光影 未来之境｜中传启动第十五届北京国际电影节AIGC电影单元全球征片,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679644&idx=1&sn=c38271830045a4f19490e0fb4004b615&chksm=8054760fb723ff198bd0eb8e5f6657a45f98a1311d79c6a896d5088a8ad4eb67d8822f5c7403#rd
金蛇贺岁 玉宇呈祥｜中传祝你乙巳年瑞彩盈途,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679643&idx=1&sn=a547a702c45b40da98cfe4fa5b376ffd&chksm=80547608b723ff1ebfbb9cb1800ae2d1979629e75c2a9056f10c55de2cc8c0c5e2dd82051ec5#rd
灵蛇献瑞！中传邀你领取新春红包封面🧧,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679619&idx=1&sn=d086f0f45c2a3b14fb547bc993fb5a02&chksm=80547610b723ff0616dadb4b2166ccbfcda18b45b875d80100a7a9e5ef1f8b5953266b146e15#rd
“解码中华文化基因”系列融媒体作品第二季｜藏毯，就是这么“韧”性！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652679538&idx=1&sn=ef78bad7c083447d6230bdd1dae55fb7&chksm=805476a1b723ffb79d3aab6bb24c0b7924854c300033b259887b950546dc041cd05775195d3e#rd
